aesni_ctr32_encrypt_blocks  16.916s
__GI___pthread_mutex_lock  10.671s
__pthread_mutex_unlock_usercnt  9.369s
pthread_cond_timedwait  7.100s
pwrite  4.971s
__memmove_evex_unaligned_erms  2.245s
__memset_evex_unaligned_erms  1.446s
parallel_query::thread_safe_queue<parallel_query_execute::job>::try_pop_fast  0.860s
__GI___libc_malloc  0.490s
__GI___pthread_mutex_unlock  0.410s
std::__atomic_base<unsigned  long>::compare_exchange_strong
parallel_query_execute::query_executor::run_jobs  0.350s
pgbuf_bcb_register_fix  0.290s
pgbuf_fix_release  0.250s
_int_free  0.250s
ATOMIC_INC_64<long,  int>
parallel_query::thread_safe_queue<parallel_query_execute::job>::is_empty  0.220s
func@0x328310  0.220s
__gthread_mutex_lock  0.210s
func@0x31b020  0.190s
