variant,matrix_cell,median_us,cov_pct,label,samples
A-slot,FL_FILTER,35058.5,2.3849,BEST-CASE-UPPER-BOUND,28
A-handle,FL_FILTER,55049.0,3.5504,BEST-CASE-UPPER-BOUND,28
B-cmpdisk,FL_FILTER,26790.0,14.7211,BEST-CASE-UPPER-BOUND,28
C-flatbuffers,FL_FILTER,41929.5,2.0235,BEST-CASE-UPPER-BOUND,28
A-slot,FL_SORT,225175.5,2.2856,BEST-CASE-UPPER-BOUND,28
A-handle,FL_SORT,245250.0,1.4847,BEST-CASE-UPPER-BOUND,28
B-cmpdisk,FL_SORT,682409.0,2.7584,BEST-CASE-UPPER-BOUND,28
C-flatbuffers,FL_SORT,1727103.0,1.2065,BEST-CASE-UPPER-BOUND,28
A-slot,CV_SORT,395347.5,1.9240,BEST-CASE-UPPER-BOUND,28
A-handle,CV_SORT,542063.0,3.6752,BEST-CASE-UPPER-BOUND,28
B-cmpdisk,CV_SORT,4689660.0,0.6846,BEST-CASE-UPPER-BOUND,28
C-flatbuffers,CV_SORT,968586.0,2.2736,BEST-CASE-UPPER-BOUND;INGESTION-EXEMPT,28
A-slot,CV_MERGE,419784.5,2.3410,BEST-CASE-UPPER-BOUND,28
A-handle,CV_MERGE,590038.0,2.0999,BEST-CASE-UPPER-BOUND,28
B-cmpdisk,CV_MERGE,5077640.0,1.2060,BEST-CASE-UPPER-BOUND,28
C-flatbuffers,CV_MERGE,910076.0,2.7875,BEST-CASE-UPPER-BOUND;INGESTION-EXEMPT,28
A-slot,UV_PEEK,10773.0,3.1531,BEST-CASE-UPPER-BOUND,28
A-handle,UV_PEEK,33687.5,1.2213,BEST-CASE-UPPER-BOUND,28
B-cmpdisk,UV_PEEK,14582.0,2.9730,BEST-CASE-UPPER-BOUND,28
C-flatbuffers,UV_PEEK,35156.5,2.1913,BEST-CASE-UPPER-BOUND;INGESTION-EXEMPT,28
A-slot,NUM_SORT,116748.5,3.7863,BEST-CASE-UPPER-BOUND,28
A-handle,NUM_SORT,153745.5,3.0813,BEST-CASE-UPPER-BOUND,28
B-cmpdisk,NUM_SORT,707956.5,6.7112,BEST-CASE-UPPER-BOUND,28
C-flatbuffers,NUM_SORT,1268328.5,3.6591,BEST-CASE-UPPER-BOUND,28
A-slot,NUM_AGG_INPUT,20999.5,2.4622,BEST-CASE-UPPER-BOUND,28
A-handle,NUM_AGG_INPUT,28868.5,0.9906,BEST-CASE-UPPER-BOUND,28
B-cmpdisk,NUM_AGG_INPUT,43596.0,1.5708,BEST-CASE-UPPER-BOUND,28
C-flatbuffers,NUM_AGG_INPUT,55304.0,1.5587,BEST-CASE-UPPER-BOUND,28
A-slot,PEEK_VS_COPY,87641.5,1.6395,BEST-CASE-UPPER-BOUND,28
A-handle,PEEK_VS_COPY,191483.5,1.2044,BEST-CASE-UPPER-BOUND,28
B-cmpdisk,PEEK_VS_COPY,247468.5,1.9809,BEST-CASE-UPPER-BOUND,28
C-flatbuffers,PEEK_VS_COPY,SKIPPED,SKIPPED,BEST-CASE-UPPER-BOUND,0
A-slot,ABBREV_SUBCELL,162095.0,1.3004,BEST-CASE-UPPER-BOUND,28
A-handle,ABBREV_SUBCELL,199527.0,1.2066,BEST-CASE-UPPER-BOUND,28
B-cmpdisk,ABBREV_SUBCELL,4696973.0,0.5509,BEST-CASE-UPPER-BOUND,28
C-flatbuffers,ABBREV_SUBCELL,SKIPPED,SKIPPED,BEST-CASE-UPPER-BOUND,0
